,date,web-link,text,Year,Month
184,2024-12-20,?id22=667463,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-864-01000-B-005P",2024,12
185,2024-12-19,?id22=667451,"О присвоении ISIN кода облигациям ООО ""Совком Секьюритиз"", выпуск 4B02-01-00190-L-001P",2024,12
186,2024-12-19,?id22=667449,"О присвоении ISIN кода облигациям ООО ""СФО РУБИДИЙ КАПИТАЛ"", выпуск 6-01-00819-R",2024,12
187,2024-12-19,?id22=667445,"О присвоении ISIN кода облигациям ПАО ""МТС"", выпуск 4B02-03-04715-A-002P",2024,12
188,2024-12-19,?id22=667443,"О присвоении ISIN кода облигациям Банка ВТБ (ПАО), выпуск 4B02-863-01000-B-005P",2024,12
189,2024-12-18,?id22=667437,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-561-01326-B-001P",2024,12
190,2024-12-18,?id22=667435,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-560-01326-B-001P",2024,12
191,2024-12-18,?id22=667433,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-559-01326-B-001P",2024,12
192,2024-12-18,?id22=667431,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-558-01326-B-001P",2024,12
193,2024-12-18,?id22=667429,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-557-01326-B-001P",2024,12
194,2024-12-18,?id22=667427,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-556-01326-B-001P",2024,12
195,2024-12-18,?id22=667425,"О присвоении ISIN кода облигациям АО ""АЛЬФА-БАНК"", выпуск 6-555-01326-B-001P",2024,12
